,COUNTYNAME,Year,Provisional Drug Overdose Deaths,Coordinates
37,Champaign,2021,166,"[[[-83.504, 40.111], [-83.515, 40.011], [-83.633, 40.016], [-83.821, 40.028], [-83.896, 40.032], [-84.036, 40.04], [-84.035, 40.056], [-84.023, 40.184], [-84.014, 40.274], [-83.983, 40.271], [-83.784, 40.26], [-83.785, 40.245], [-83.551, 40.229], [-83.494, 40.225], [-83.504, 40.111]]]"
38,Champaign,2022,116,"[[[-83.504, 40.111], [-83.515, 40.011], [-83.633, 40.016], [-83.821, 40.028], [-83.896, 40.032], [-84.036, 40.04], [-84.035, 40.056], [-84.023, 40.184], [-84.014, 40.274], [-83.983, 40.271], [-83.784, 40.26], [-83.785, 40.245], [-83.551, 40.229], [-83.494, 40.225], [-83.504, 40.111]]]"
39,Champaign,2023,20,"[[[-83.504, 40.111], [-83.515, 40.011], [-83.633, 40.016], [-83.821, 40.028], [-83.896, 40.032], [-84.036, 40.04], [-84.035, 40.056], [-84.023, 40.184], [-84.014, 40.274], [-83.983, 40.271], [-83.784, 40.26], [-83.785, 40.245], [-83.551, 40.229], [-83.494, 40.225], [-83.504, 40.111]]]"
40,Clark,2020,733,"[[[-83.647, 39.773], [-83.647, 39.776], [-83.739, 39.781], [-83.741, 39.789], [-83.829, 39.798], [-83.827, 39.822], [-83.941, 39.829], [-83.94, 39.844], [-84.054, 39.85], [-84.051, 39.88], [-84.036, 40.04], [-83.896, 40.032], [-83.821, 40.028], [-83.633, 40.016], [-83.515, 40.011], [-83.51, 40.004], [-83.543, 39.912], [-83.567, 39.837], [-83.588, 39.769], [-83.647, 39.773]]]"
41,Clark,2021,910,"[[[-83.647, 39.773], [-83.647, 39.776], [-83.739, 39.781], [-83.741, 39.789], [-83.829, 39.798], [-83.827, 39.822], [-83.941, 39.829], [-83.94, 39.844], [-84.054, 39.85], [-84.051, 39.88], [-84.036, 40.04], [-83.896, 40.032], [-83.821, 40.028], [-83.633, 40.016], [-83.515, 40.011], [-83.51, 40.004], [-83.543, 39.912], [-83.567, 39.837], [-83.588, 39.769], [-83.647, 39.773]]]"
42,Clark,2022,901,"[[[-83.647, 39.773], [-83.647, 39.776], [-83.739, 39.781], [-83.741, 39.789], [-83.829, 39.798], [-83.827, 39.822], [-83.941, 39.829], [-83.94, 39.844], [-84.054, 39.85], [-84.051, 39.88], [-84.036, 40.04], [-83.896, 40.032], [-83.821, 40.028], [-83.633, 40.016], [-83.515, 40.011], [-83.51, 40.004], [-83.543, 39.912], [-83.567, 39.837], [-83.588, 39.769], [-83.647, 39.773]]]"
43,Clark,2023,819,"[[[-83.647, 39.773], [-83.647, 39.776], [-83.739, 39.781], [-83.741, 39.789], [-83.829, 39.798], [-83.827, 39.822], [-83.941, 39.829], [-83.94, 39.844], [-84.054, 39.85], [-84.051, 39.88], [-84.036, 40.04], [-83.896, 40.032], [-83.821, 40.028], [-83.633, 40.016], [-83.515, 40.011], [-83.51, 40.004], [-83.543, 39.912], [-83.567, 39.837], [-83.588, 39.769], [-83.647, 39.773]]]"
44,Clermont,2020,898,"[[[-83.994, 39.254], [-84, 39.172], [-84.005, 39.147], [-84.041, 38.875], [-84.043, 38.847], [-84.053, 38.773], [-84.077, 38.773], [-84.153, 38.794], [-84.205, 38.803], [-84.226, 38.816], [-84.234, 38.839], [-84.233, 38.879], [-84.238, 38.895], [-84.253, 38.914], [-84.291, 38.958], [-84.297, 38.97], [-84.303, 39], [-84.319, 39.022], [-84.306, 39.117], [-84.3, 39.175], [-84.29, 39.181], [-84.279, 39.197], [-84.284, 39.213], [-84.312, 39.208], [-84.32, 39.225], [-84.297, 39.239], [-84.295, 39.247], [-84.262, 39.265], [-84.26, 39.27], [-84.007, 39.255], [-83.994, 39.254]]]"
45,Clermont,2021,1115,"[[[-83.994, 39.254], [-84, 39.172], [-84.005, 39.147], [-84.041, 38.875], [-84.043, 38.847], [-84.053, 38.773], [-84.077, 38.773], [-84.153, 38.794], [-84.205, 38.803], [-84.226, 38.816], [-84.234, 38.839], [-84.233, 38.879], [-84.238, 38.895], [-84.253, 38.914], [-84.291, 38.958], [-84.297, 38.97], [-84.303, 39], [-84.319, 39.022], [-84.306, 39.117], [-84.3, 39.175], [-84.29, 39.181], [-84.279, 39.197], [-84.284, 39.213], [-84.312, 39.208], [-84.32, 39.225], [-84.297, 39.239], [-84.295, 39.247], [-84.262, 39.265], [-84.26, 39.27], [-84.007, 39.255], [-83.994, 39.254]]]"
46,Clermont,2022,981,"[[[-83.994, 39.254], [-84, 39.172], [-84.005, 39.147], [-84.041, 38.875], [-84.043, 38.847], [-84.053, 38.773], [-84.077, 38.773], [-84.153, 38.794], [-84.205, 38.803], [-84.226, 38.816], [-84.234, 38.839], [-84.233, 38.879], [-84.238, 38.895], [-84.253, 38.914], [-84.291, 38.958], [-84.297, 38.97], [-84.303, 39], [-84.319, 39.022], [-84.306, 39.117], [-84.3, 39.175], [-84.29, 39.181], [-84.279, 39.197], [-84.284, 39.213], [-84.312, 39.208], [-84.32, 39.225], [-84.297, 39.239], [-84.295, 39.247], [-84.262, 39.265], [-84.26, 39.27], [-84.007, 39.255], [-83.994, 39.254]]]"
